id,original_path,checksum,arch,format,compiler_spec,size
10611,/data/hongyuan/akiba_dataset/firmline/blobs/trigno_update_v040.034_T017.bin@ce37d6a0bb92c5e1174f2990648f7baf,ce37d6a0bb92c5e1174f2990648f7baf,ARM:LE:32:v8T,Raw Binary,unknown,292452
10612,/data/hongyuan/akiba_dataset/firmline/blobs/yellow_carp_pfp.bin,22d03f8ac4b43699d8572c8d7262d61d,n/a,n/a,n/a,263424
10613,/data/hongyuan/akiba_dataset/firmline/blobs/VECTORS.bin,c67352a971c09ba1c97ef807751920df,ARM:LE:32:v8T,Raw Binary,unknown,826732
10614,/data/hongyuan/akiba_dataset/firmline/blobs/boe_novatek_ts_mp.bin_1677707860,7a190363e1e5351ff0fe3396901c05ee,n/a,n/a,n/a,139264
10615,/data/hongyuan/akiba_dataset/firmline/blobs/wpss.b05,980bc1925a106f36cb73a7c444008135,RISCV:LE:32:RV32IMC,Executable and Linking Format (ELF),unknown,175236
10616,/data/hongyuan/akiba_dataset/firmline/blobs/adsp.b01_1677159264,04467bd5db608b0bfd3846087cbfcd62,n/a,n/a,n/a,7528
10617,/data/hongyuan/akiba_dataset/firmline/blobs/goodix_gt9886_cfg_f11.bin.bin,72d7f410699854a0c0688a17b353656a,n/a,n/a,n/a,4890
10618,/data/hongyuan/akiba_dataset/firmline/blobs/bcmdhd.cal_1677404653,bcbba2348081ec1789e89e3cbe61f446,n/a,n/a,n/a,24275
10619,/data/hongyuan/akiba_dataset/firmline/blobs/sim_ring30.bin,8a678edc20ca5e34f02de3c43e9b7f9d,n/a,n/a,n/a,231201
10620,/data/hongyuan/akiba_dataset/firmline/blobs/cdsp.mdt_1677370458,05529f1bde74b72738c1cb1ab530c1cb,n/a,n/a,n/a,7580
10621,/data/hongyuan/akiba_dataset/firmline/blobs/bq27520-0.bqfs,01525cd18745f96f7e3af589283c5081,n/a,n/a,n/a,191801
10622,/data/hongyuan/akiba_dataset/firmline/blobs/catcher_filter_1_ulwctg_n__Default.bin_1677335212,aeacf40207a56bfd564535bba7672a8e,n/a,n/a,n/a,9644
10623,/data/hongyuan/akiba_dataset/firmline/blobs/zephyr-CVE-no-CVE-false-positive-watchdog-callback.elf,716898ecaaf50172de92e962a56935d2,ARM:LE:32:v8,Executable and Linking Format (ELF),unknown,1863292
10624,/data/hongyuan/akiba_dataset/firmline/blobs/rtl8703bs_fw_1677311516,1c6fcc403a472d4e014161dd700fbf3d,n/a,n/a,n/a,29460
10625,/data/hongyuan/akiba_dataset/firmline/blobs/cs35l41-dsp1-spk-prot-right.wmfw,81fd7d4c7459de54d66786b308e918f0,n/a,n/a,n/a,29080
10626,/data/hongyuan/akiba_dataset/firmline/blobs/fpctzappfingerprint.mdt_1677760158,0c9ac9efc5d92fdc4dc284614fda7d15,ARM:LE:32:v8,Executable and Linking Format (ELF),unknown,7004
10627,/data/hongyuan/akiba_dataset/firmline/blobs/dsp_fw_kbl_v701.bin,7d937bb2919031a8a4ed5427b5e6a108,Xtensa:LE:32:default,Raw Binary,unknown,238920
10628,/data/hongyuan/akiba_dataset/firmline/blobs/tfa98xx.cnt_1677418215,9e5749eda83e69901339b0496c799012,n/a,n/a,n/a,10019
10629,/data/hongyuan/akiba_dataset/firmline/blobs/bdwlan_kunlun.bin,18ad6e198fa28a4d7eadbe515fd68ee1,n/a,n/a,n/a,19152
