id,gdma_basic_blocks,gdma_coverage,gdma_crashes,gdma_crash_total,multifuzz_basic_blocks,multifuzz_coverage,multifuzz_crashes,multifuzz_crash_total,hoedur_basic_blocks,hoedur_coverage,hoedur_crashes,hoedur_crash_total
1530,846,0.1520,"{""UR"": 1764, ""UW"": 0, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",1764,824,0.1291,"{""UR"": 1, ""UW"": 0, ""RV"": 0, ""UF+EV"": 0, ""WV"": 0, ""UI"": 0, ""Timeout"": 10, ""Other"": 0}",11,,,,
1531,697,0.1307,"{""UR"": 978, ""UW"": 0, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",978,678,0.1128,"{""UR"": 1, ""UW"": 0, ""RV"": 0, ""UF+EV"": 0, ""WV"": 0, ""UI"": 0, ""Timeout"": 2, ""Other"": 0}",3,,,"{""UR+UW+RV+UF+EV"": 0, ""WV"": 0, ""Hang"": 0, ""Other"": 0}",0
1532,701,0.1322,"{""UR"": 1571, ""UW"": 0, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",1571,692,0.1155,"{""UR"": 1, ""UW"": 0, ""RV"": 0, ""UF+EV"": 0, ""WV"": 0, ""UI"": 0, ""Timeout"": 7, ""Other"": 0}",8,,,"{""UR+UW+RV+UF+EV"": 0, ""WV"": 0, ""Hang"": 0, ""Other"": 0}",0
1533,,,,,699,0.1151,"{""UR"": 1, ""UW"": 0, ""RV"": 0, ""UF+EV"": 0, ""WV"": 0, ""UI"": 0, ""Timeout"": 5, ""Other"": 0}",6,,,"{""UR+UW+RV+UF+EV"": 0, ""WV"": 0, ""Hang"": 0, ""Other"": 0}",0
1534,708,0.1338,"{""UR"": 2164, ""UW"": 0, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",2164,691,0.1155,"{""UR"": 1, ""UW"": 0, ""RV"": 0, ""UF+EV"": 0, ""WV"": 0, ""UI"": 0, ""Timeout"": 5, ""Other"": 0}",6,,,"{""UR+UW+RV+UF+EV"": 0, ""WV"": 0, ""Hang"": 0, ""Other"": 0}",0
1535,696,0.1324,"{""UR"": 1971, ""UW"": 0, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",1971,674,0.1136,"{""UR"": 1, ""UW"": 0, ""RV"": 0, ""UF+EV"": 0, ""WV"": 0, ""UI"": 0, ""Timeout"": 8, ""Other"": 0}",9,,,"{""UR+UW+RV+UF+EV"": 0, ""WV"": 0, ""Hang"": 0, ""Other"": 0}",0
1536,790,0.3386,"{""UR"": 0, ""UW"": 0, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",0,885,0.2750,"{""UR"": 0, ""UW"": 0, ""RV"": 0, ""UF+EV"": 0, ""WV"": 0, ""UI"": 0, ""Timeout"": 0, ""Other"": 0}",0,283,0.3125,"{""UR+UW+RV+UF+EV"": 0, ""WV"": 0, ""Hang"": 13, ""Other"": 0}",0
1539,54,0.0110,"{""UR"": 0, ""UW"": 0, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",0,57,0.0115,"{""UR"": 0, ""UW"": 0, ""RV"": 0, ""UF+EV"": 0, ""WV"": 0, ""UI"": 0, ""Timeout"": 1, ""Other"": 0}",1,4,0.0100,"{""UR+UW+RV+UF+EV"": 0, ""WV"": 0, ""Hang"": 2, ""Other"": 0}",0
1546,690,0.1936,"{""UR"": 110, ""UW"": 8, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",118,2022,0.4245,"{""UR"": 14, ""UW"": 4, ""RV"": 3, ""UF+EV"": 24, ""WV"": 19, ""UI"": 0, ""Timeout"": 9, ""Other"": 15}",88,1249,0.4581,"{""UR+UW+RV+UF+EV"": 50, ""WV"": 58, ""Hang"": 72, ""Other"": 25}",576
1566,,,,,44,0.0138,"{""UR"": 0, ""UW"": 0, ""RV"": 0, ""UF+EV"": 0, ""WV"": 0, ""UI"": 0, ""Timeout"": 1, ""Other"": 0}",1,4,0.0123,"{""UR+UW+RV+UF+EV"": 0, ""WV"": 0, ""Hang"": 2, ""Other"": 0}",0
1567,,,,,7,0.0021,"{""UR"": 0, ""UW"": 0, ""RV"": 0, ""UF+EV"": 0, ""WV"": 0, ""UI"": 0, ""Timeout"": 1, ""Other"": 0}",1,4,0.0095,"{""UR+UW+RV+UF+EV"": 0, ""WV"": 0, ""Hang"": 2, ""Other"": 0}",0
1568,,,,,445,0.1547,"{""UR"": 1, ""UW"": 0, ""RV"": 0, ""UF+EV"": 0, ""WV"": 0, ""UI"": 0, ""Timeout"": 0, ""Other"": 0}",1,339,0.2375,"{""UR+UW+RV+UF+EV"": 1, ""WV"": 0, ""Hang"": 0, ""Other"": 0}",160
1569,,,,,416,0.0878,"{""UR"": 1, ""UW"": 0, ""RV"": 0, ""UF+EV"": 0, ""WV"": 0, ""UI"": 0, ""Timeout"": 1, ""Other"": 0}",2,40,0.0904,"{""UR+UW+RV+UF+EV"": 0, ""WV"": 0, ""Hang"": 13, ""Other"": 0}",0
1576,572,0.0882,"{""UR"": 0, ""UW"": 0, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 110, ""Other"": 0}",110,604,0.0852,"{""UR"": 0, ""UW"": 0, ""RV"": 0, ""UF+EV"": 0, ""WV"": 0, ""UI"": 0, ""Timeout"": 0, ""Other"": 0}",0,384,0.2019,"{""UR+UW+RV+UF+EV"": 0, ""WV"": 0, ""Hang"": 40, ""Other"": 1}",0
1577,711,0.1005,"{""UR"": 0, ""UW"": 0, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 32, ""Other"": 0}",32,627,0.0814,"{""UR"": 0, ""UW"": 0, ""RV"": 0, ""UF+EV"": 0, ""WV"": 0, ""UI"": 0, ""Timeout"": 0, ""Other"": 0}",0,311,0.1328,"{""UR+UW+RV+UF+EV"": 0, ""WV"": 0, ""Hang"": 21, ""Other"": 1}",0
1580,461,0.0685,"{""UR"": 0, ""UW"": 0, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 279, ""Other"": 0}",279,573,0.0785,"{""UR"": 0, ""UW"": 0, ""RV"": 0, ""UF+EV"": 0, ""WV"": 0, ""UI"": 0, ""Timeout"": 0, ""Other"": 0}",0,336,0.1420,"{""UR+UW+RV+UF+EV"": 0, ""WV"": 0, ""Hang"": 9, ""Other"": 1}",0
1602,,,,,685,0.0435,"{""UR"": 0, ""UW"": 0, ""RV"": 0, ""UF+EV"": 0, ""WV"": 0, ""UI"": 0, ""Timeout"": 31, ""Other"": 0}",31,53,0.0392,"{""UR+UW+RV+UF+EV"": 0, ""WV"": 0, ""Hang"": 28, ""Other"": 0}",0
1607,198,0.0181,"{""UR"": 0, ""UW"": 0, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",0,860,0.0727,"{""UR"": 1, ""UW"": 0, ""RV"": 0, ""UF+EV"": 0, ""WV"": 0, ""UI"": 0, ""Timeout"": 3, ""Other"": 0}",4,306,0.0736,"{""UR+UW+RV+UF+EV"": 1, ""WV"": 0, ""Hang"": 24, ""Other"": 0}",138
1613,329,0.0580,"{""UR"": 0, ""UW"": 0, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",0,396,0.0655,"{""UR"": 1, ""UW"": 0, ""RV"": 0, ""UF+EV"": 0, ""WV"": 0, ""UI"": 0, ""Timeout"": 0, ""Other"": 0}",1,251,0.0642,"{""UR+UW+RV+UF+EV"": 1, ""WV"": 0, ""Hang"": 0, ""Other"": 0}",100
1643,135,0.0729,"{""UR"": 0, ""UW"": 0, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",0,1190,0.3911,"{""UR"": 0, ""UW"": 1, ""RV"": 0, ""UF+EV"": 27, ""WV"": 0, ""UI"": 1, ""Timeout"": 1, ""Other"": 2}",32,1198,0.5358,"{""UR+UW+RV+UF+EV"": 16, ""WV"": 0, ""Hang"": 13, ""Other"": 6}",317
1644,150,0.0742,"{""UR"": 17, ""UW"": 0, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",17,,,,,,,,
1645,274,0.1389,"{""UR"": 174, ""UW"": 0, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",174,284,0.1259,"{""UR"": 1, ""UW"": 0, ""RV"": 0, ""UF+EV"": 0, ""WV"": 0, ""UI"": 0, ""Timeout"": 1, ""Other"": 0}",2,,,,
1646,834,0.1366,"{""UR"": 596, ""UW"": 0, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",596,2466,0.3069,"{""UR"": 2, ""UW"": 0, ""RV"": 0, ""UF+EV"": 0, ""WV"": 0, ""UI"": 0, ""Timeout"": 1, ""Other"": 0}",3,1,0.0111,"{""UR+UW+RV+UF+EV"": 0, ""WV"": 0, ""Hang"": 0, ""Other"": 0}",0
1764,431,0.2082,"{""UR"": 0, ""UW"": 0, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",0,966,0.4242,"{""UR"": 0, ""UW"": 0, ""RV"": 0, ""UF+EV"": 0, ""WV"": 0, ""UI"": 0, ""Timeout"": 0, ""Other"": 0}",0,194,0.2061,"{""UR+UW+RV+UF+EV"": 1, ""WV"": 0, ""Hang"": 0, ""Other"": 0}",70
1765,431,0.2082,"{""UR"": 0, ""UW"": 0, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",0,978,0.4282,"{""UR"": 1, ""UW"": 10, ""RV"": 0, ""UF+EV"": 0, ""WV"": 0, ""UI"": 0, ""Timeout"": 1, ""Other"": 1}",13,209,0.2061,"{""UR+UW+RV+UF+EV"": 1, ""WV"": 0, ""Hang"": 0, ""Other"": 0}",75
1766,431,0.2082,"{""UR"": 0, ""UW"": 0, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",0,982,0.4299,"{""UR"": 0, ""UW"": 0, ""RV"": 0, ""UF+EV"": 0, ""WV"": 0, ""UI"": 0, ""Timeout"": 0, ""Other"": 0}",0,215,0.2061,"{""UR+UW+RV+UF+EV"": 1, ""WV"": 0, ""Hang"": 0, ""Other"": 0}",78
1767,431,0.2082,"{""UR"": 0, ""UW"": 0, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",0,1007,0.4380,"{""UR"": 0, ""UW"": 8, ""RV"": 0, ""UF+EV"": 0, ""WV"": 0, ""UI"": 0, ""Timeout"": 0, ""Other"": 1}",9,207,0.2061,"{""UR+UW+RV+UF+EV"": 1, ""WV"": 0, ""Hang"": 0, ""Other"": 0}",71
1781,125,0.0027,"{""UR"": 0, ""UW"": 0, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",0,153,0.0033,"{""UR"": 0, ""UW"": 0, ""RV"": 0, ""UF+EV"": 0, ""WV"": 0, ""UI"": 0, ""Timeout"": 1, ""Other"": 0}",1,5,0.0026,"{""UR+UW+RV+UF+EV"": 0, ""WV"": 0, ""Hang"": 3, ""Other"": 0}",0
