id,gdma_basic_blocks,gdma_coverage,gdma_crashes,gdma_crash_total,multifuzz_basic_blocks,multifuzz_coverage,multifuzz_crashes,multifuzz_crash_total,hoedur_basic_blocks,hoedur_coverage,hoedur_crashes,hoedur_crash_total
2,199,0.0339,"{""UR"": 0, ""UW"": 0, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",0,578,0.0915,"{""UR"": 0, ""UW"": 0, ""RV"": 0, ""UF+EV"": 0, ""WV"": 0, ""UI"": 0, ""Timeout"": 1, ""Other"": 0}",1,184,0.0941,"{""UR+UW+RV+UF+EV"": 0, ""WV"": 0, ""Hang"": 7, ""Other"": 2}",0
3,440,0.0901,"{""UR"": 183, ""UW"": 0, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",183,429,0.0807,"{""UR"": 1, ""UW"": 0, ""RV"": 0, ""UF+EV"": 0, ""WV"": 0, ""UI"": 0, ""Timeout"": 0, ""Other"": 0}",1,199,0.0812,"{""UR+UW+RV+UF+EV"": 1, ""WV"": 0, ""Hang"": 0, ""Other"": 5}",77
11,668,0.1243,"{""UR"": 419, ""UW"": 0, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",419,,,,,,,,
13,259,0.2897,"{""UR"": 1231, ""UW"": 121, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",1352,257,0.2233,"{""UR"": 1, ""UW"": 0, ""RV"": 0, ""UF+EV"": 0, ""WV"": 0, ""UI"": 0, ""Timeout"": 6, ""Other"": 0}",7,927,0.5831,"{""UR+UW+RV+UF+EV"": 6, ""WV"": 0, ""Hang"": 37, ""Other"": 0}",426
26,1149,0.1310,"{""UR"": 535, ""UW"": 0, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",535,,,,,,,,
27,2255,0.2844,"{""UR"": 3604, ""UW"": 0, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",3604,3010,0.2751,"{""UR"": 1, ""UW"": 0, ""RV"": 0, ""UF+EV"": 0, ""WV"": 0, ""UI"": 0, ""Timeout"": 0, ""Other"": 0}",1,2370,0.3288,"{""UR+UW+RV+UF+EV"": 1, ""WV"": 0, ""Hang"": 3, ""Other"": 0}",537
28,1192,0.1479,"{""UR"": 0, ""UW"": 0, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",0,3184,0.2832,"{""UR"": 1, ""UW"": 0, ""RV"": 0, ""UF+EV"": 0, ""WV"": 0, ""UI"": 0, ""Timeout"": 0, ""Other"": 0}",1,1972,0.3325,"{""UR+UW+RV+UF+EV"": 1, ""WV"": 0, ""Hang"": 1, ""Other"": 0}",384
29,50,0.0056,"{""UR"": 66, ""UW"": 0, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",66,,,,,,,,
31,238,0.0268,"{""UR"": 65, ""UW"": 0, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",65,,,,,,,,
33,238,0.0268,"{""UR"": 70, ""UW"": 0, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",70,,,,,,,,
35,50,0.0056,"{""UR"": 66, ""UW"": 0, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",66,,,,,,,,
37,1156,0.2129,"{""UR"": 659, ""UW"": 21, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",680,1201,0.1811,"{""UR"": 1, ""UW"": 0, ""RV"": 0, ""UF+EV"": 0, ""WV"": 0, ""UI"": 0, ""Timeout"": 0, ""Other"": 0}",1,595,0.2041,"{""UR+UW+RV+UF+EV"": 2, ""WV"": 0, ""Hang"": 0, ""Other"": 0}",244
38,909,0.0784,"{""UR"": 0, ""UW"": 0, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",0,890,0.0713,"{""UR"": 1, ""UW"": 0, ""RV"": 0, ""UF+EV"": 0, ""WV"": 0, ""UI"": 0, ""Timeout"": 1, ""Other"": 0}",2,390,0.0751,"{""UR+UW+RV+UF+EV"": 1, ""WV"": 0, ""Hang"": 0, ""Other"": 0}",176
39,909,0.0784,"{""UR"": 0, ""UW"": 0, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",0,903,0.0723,"{""UR"": 1, ""UW"": 0, ""RV"": 0, ""UF+EV"": 0, ""WV"": 0, ""UI"": 0, ""Timeout"": 0, ""Other"": 0}",1,367,0.0751,"{""UR+UW+RV+UF+EV"": 1, ""WV"": 0, ""Hang"": 0, ""Other"": 0}",159
40,909,0.0784,"{""UR"": 0, ""UW"": 0, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",0,906,0.0725,"{""UR"": 1, ""UW"": 0, ""RV"": 0, ""UF+EV"": 0, ""WV"": 0, ""UI"": 0, ""Timeout"": 0, ""Other"": 0}",1,399,0.0751,"{""UR+UW+RV+UF+EV"": 1, ""WV"": 0, ""Hang"": 0, ""Other"": 0}",180
41,909,0.0784,"{""UR"": 0, ""UW"": 0, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",0,903,0.0723,"{""UR"": 1, ""UW"": 0, ""RV"": 0, ""UF+EV"": 0, ""WV"": 0, ""UI"": 0, ""Timeout"": 0, ""Other"": 0}",1,366,0.0751,"{""UR+UW+RV+UF+EV"": 1, ""WV"": 0, ""Hang"": 0, ""Other"": 0}",151
42,910,0.0785,"{""UR"": 0, ""UW"": 0, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",0,895,0.0717,"{""UR"": 1, ""UW"": 0, ""RV"": 0, ""UF+EV"": 0, ""WV"": 0, ""UI"": 0, ""Timeout"": 0, ""Other"": 0}",1,375,0.0751,"{""UR+UW+RV+UF+EV"": 1, ""WV"": 0, ""Hang"": 0, ""Other"": 0}",162
43,910,0.0785,"{""UR"": 0, ""UW"": 0, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",0,903,0.0723,"{""UR"": 1, ""UW"": 0, ""RV"": 0, ""UF+EV"": 0, ""WV"": 0, ""UI"": 0, ""Timeout"": 0, ""Other"": 0}",1,376,0.0751,"{""UR+UW+RV+UF+EV"": 1, ""WV"": 0, ""Hang"": 1, ""Other"": 0}",170
44,909,0.0784,"{""UR"": 0, ""UW"": 0, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",0,902,0.0722,"{""UR"": 1, ""UW"": 0, ""RV"": 0, ""UF+EV"": 0, ""WV"": 0, ""UI"": 0, ""Timeout"": 1, ""Other"": 0}",2,356,0.0751,"{""UR+UW+RV+UF+EV"": 1, ""WV"": 0, ""Hang"": 0, ""Other"": 0}",152
45,909,0.0785,"{""UR"": 0, ""UW"": 0, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",0,900,0.0722,"{""UR"": 1, ""UW"": 0, ""RV"": 0, ""UF+EV"": 0, ""WV"": 0, ""UI"": 0, ""Timeout"": 1, ""Other"": 0}",2,394,0.0752,"{""UR+UW+RV+UF+EV"": 1, ""WV"": 0, ""Hang"": 0, ""Other"": 0}",171
46,909,0.0784,"{""UR"": 0, ""UW"": 0, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",0,903,0.0723,"{""UR"": 1, ""UW"": 0, ""RV"": 0, ""UF+EV"": 0, ""WV"": 0, ""UI"": 0, ""Timeout"": 0, ""Other"": 0}",1,391,0.0751,"{""UR+UW+RV+UF+EV"": 1, ""WV"": 0, ""Hang"": 0, ""Other"": 0}",160
47,769,0.0774,"{""UR"": 0, ""UW"": 210, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",210,,,,,,,,
51,245,0.0226,"{""UR"": 67, ""UW"": 0, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",67,,,,,,,,
53,324,0.0396,"{""UR"": 146, ""UW"": 0, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",146,,,,,,,,
54,323,0.0395,"{""UR"": 207, ""UW"": 0, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",207,,,,,,,,
65,29,0.0044,"{""UR"": 0, ""UW"": 0, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",0,28,0.0042,"{""UR"": 0, ""UW"": 0, ""RV"": 0, ""UF+EV"": 0, ""WV"": 0, ""UI"": 0, ""Timeout"": 1, ""Other"": 0}",1,3,0.0042,"{""UR+UW+RV+UF+EV"": 0, ""WV"": 0, ""Hang"": 1, ""Other"": 2}",0
71,444,0.0858,"{""UR"": 12, ""UW"": 0, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",12,432,0.0779,"{""UR"": 1, ""UW"": 0, ""RV"": 0, ""UF+EV"": 0, ""WV"": 0, ""UI"": 0, ""Timeout"": 1, ""Other"": 0}",2,70,0.0801,"{""UR+UW+RV+UF+EV"": 1, ""WV"": 0, ""Hang"": 39, ""Other"": 0}",8
72,8,0.0016,"{""UR"": 10, ""UW"": 0, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",10,509,0.0907,"{""UR"": 1, ""UW"": 0, ""RV"": 0, ""UF+EV"": 0, ""WV"": 0, ""UI"": 0, ""Timeout"": 1, ""Other"": 0}",2,99,0.0949,"{""UR+UW+RV+UF+EV"": 1, ""WV"": 0, ""Hang"": 54, ""Other"": 0}",11
73,8,0.0014,"{""UR"": 11, ""UW"": 0, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",11,481,0.0788,"{""UR"": 1, ""UW"": 0, ""RV"": 0, ""UF+EV"": 0, ""WV"": 0, ""UI"": 0, ""Timeout"": 5, ""Other"": 0}",6,158,0.0869,"{""UR+UW+RV+UF+EV"": 1, ""WV"": 0, ""Hang"": 12, ""Other"": 0}",11
74,8,0.0016,"{""UR"": 8, ""UW"": 0, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",8,424,0.0778,"{""UR"": 1, ""UW"": 0, ""RV"": 0, ""UF+EV"": 0, ""WV"": 0, ""UI"": 0, ""Timeout"": 1, ""Other"": 0}",2,71,0.0808,"{""UR+UW+RV+UF+EV"": 1, ""WV"": 0, ""Hang"": 25, ""Other"": 0}",8
75,392,0.0862,"{""UR"": 7, ""UW"": 0, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",7,444,0.0889,"{""UR"": 1, ""UW"": 0, ""RV"": 0, ""UF+EV"": 0, ""WV"": 0, ""UI"": 0, ""Timeout"": 5, ""Other"": 0}",6,136,0.1010,"{""UR+UW+RV+UF+EV"": 1, ""WV"": 0, ""Hang"": 17, ""Other"": 0}",8
76,8,0.0017,"{""UR"": 12, ""UW"": 0, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",12,530,0.1003,"{""UR"": 2, ""UW"": 0, ""RV"": 0, ""UF+EV"": 0, ""WV"": 0, ""UI"": 0, ""Timeout"": 0, ""Other"": 0}",2,379,0.1054,"{""UR+UW+RV+UF+EV"": 2, ""WV"": 0, ""Hang"": 0, ""Other"": 0}",96
77,435,0.0827,"{""UR"": 21, ""UW"": 0, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",21,424,0.0746,"{""UR"": 1, ""UW"": 0, ""RV"": 0, ""UF+EV"": 0, ""WV"": 0, ""UI"": 0, ""Timeout"": 1, ""Other"": 0}",2,67,0.0775,"{""UR+UW+RV+UF+EV"": 1, ""WV"": 0, ""Hang"": 29, ""Other"": 0}",8
78,8,0.0018,"{""UR"": 10, ""UW"": 0, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",10,442,0.0918,"{""UR"": 1, ""UW"": 0, ""RV"": 0, ""UF+EV"": 0, ""WV"": 0, ""UI"": 0, ""Timeout"": 4, ""Other"": 0}",5,130,0.0999,"{""UR+UW+RV+UF+EV"": 1, ""WV"": 0, ""Hang"": 11, ""Other"": 0}",9
79,473,0.0828,"{""UR"": 0, ""UW"": 0, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",0,476,0.0769,"{""UR"": 1, ""UW"": 0, ""RV"": 0, ""UF+EV"": 0, ""WV"": 0, ""UI"": 0, ""Timeout"": 5, ""Other"": 0}",6,155,0.0862,"{""UR+UW+RV+UF+EV"": 1, ""WV"": 0, ""Hang"": 16, ""Other"": 0}",12
80,8,0.0013,"{""UR"": 12, ""UW"": 0, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",12,493,0.0760,"{""UR"": 1, ""UW"": 0, ""RV"": 0, ""UF+EV"": 0, ""WV"": 0, ""UI"": 0, ""Timeout"": 3, ""Other"": 0}",4,162,0.0824,"{""UR+UW+RV+UF+EV"": 1, ""WV"": 0, ""Hang"": 15, ""Other"": 0}",9
81,8,0.0016,"{""UR"": 12, ""UW"": 0, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",12,426,0.0784,"{""UR"": 1, ""UW"": 0, ""RV"": 0, ""UF+EV"": 0, ""WV"": 0, ""UI"": 0, ""Timeout"": 1, ""Other"": 0}",2,68,0.0816,"{""UR+UW+RV+UF+EV"": 1, ""WV"": 0, ""Hang"": 39, ""Other"": 0}",7
82,452,0.0872,"{""UR"": 16, ""UW"": 0, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",16,441,0.0793,"{""UR"": 1, ""UW"": 0, ""RV"": 0, ""UF+EV"": 0, ""WV"": 0, ""UI"": 0, ""Timeout"": 1, ""Other"": 0}",2,73,0.0812,"{""UR+UW+RV+UF+EV"": 1, ""WV"": 0, ""Hang"": 30, ""Other"": 0}",8
83,8,0.0017,"{""UR"": 11, ""UW"": 0, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",11,530,0.1015,"{""UR"": 1, ""UW"": 0, ""RV"": 0, ""UF+EV"": 0, ""WV"": 0, ""UI"": 0, ""Timeout"": 0, ""Other"": 0}",1,360,0.1052,"{""UR+UW+RV+UF+EV"": 2, ""WV"": 0, ""Hang"": 0, ""Other"": 0}",96
84,8,0.0017,"{""UR"": 10, ""UW"": 0, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",10,530,0.1002,"{""UR"": 1, ""UW"": 0, ""RV"": 0, ""UF+EV"": 0, ""WV"": 0, ""UI"": 0, ""Timeout"": 0, ""Other"": 0}",1,356,0.1052,"{""UR+UW+RV+UF+EV"": 2, ""WV"": 0, ""Hang"": 0, ""Other"": 0}",90
85,8,0.0017,"{""UR"": 11, ""UW"": 0, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",11,530,0.1002,"{""UR"": 1, ""UW"": 0, ""RV"": 0, ""UF+EV"": 0, ""WV"": 0, ""UI"": 0, ""Timeout"": 0, ""Other"": 0}",1,362,0.1052,"{""UR+UW+RV+UF+EV"": 2, ""WV"": 0, ""Hang"": 0, ""Other"": 0}",87
89,,,,,22,0.0040,"{""UR"": 1, ""UW"": 0, ""RV"": 0, ""UF+EV"": 0, ""WV"": 0, ""UI"": 0, ""Timeout"": 0, ""Other"": 0}",1,,,,
90,,,,,22,0.0040,"{""UR"": 1, ""UW"": 0, ""RV"": 0, ""UF+EV"": 0, ""WV"": 0, ""UI"": 0, ""Timeout"": 0, ""Other"": 0}",1,,,,
91,,,,,22,0.0043,"{""UR"": 1, ""UW"": 0, ""RV"": 0, ""UF+EV"": 0, ""WV"": 0, ""UI"": 0, ""Timeout"": 0, ""Other"": 0}",1,,,,
92,,,,,22,0.0043,"{""UR"": 1, ""UW"": 0, ""RV"": 0, ""UF+EV"": 0, ""WV"": 0, ""UI"": 0, ""Timeout"": 0, ""Other"": 0}",1,,,,
95,737,0.2386,"{""UR"": 0, ""UW"": 681, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",681,,,,,,,,
98,912,0.0776,"{""UR"": 0, ""UW"": 0, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",0,904,0.0714,"{""UR"": 1, ""UW"": 0, ""RV"": 0, ""UF+EV"": 0, ""WV"": 0, ""UI"": 0, ""Timeout"": 0, ""Other"": 0}",1,371,0.0742,"{""UR+UW+RV+UF+EV"": 1, ""WV"": 0, ""Hang"": 0, ""Other"": 0}",157
101,546,0.0792,"{""UR"": 0, ""UW"": 0, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",0,870,0.1120,"{""UR"": 0, ""UW"": 0, ""RV"": 0, ""UF+EV"": 0, ""WV"": 0, ""UI"": 0, ""Timeout"": 0, ""Other"": 0}",0,781,0.1352,"{""UR+UW+RV+UF+EV"": 1, ""WV"": 0, ""Hang"": 1, ""Other"": 0}",241
102,548,0.0795,"{""UR"": 0, ""UW"": 0, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",0,891,0.1144,"{""UR"": 0, ""UW"": 0, ""RV"": 0, ""UF+EV"": 0, ""WV"": 0, ""UI"": 0, ""Timeout"": 0, ""Other"": 0}",0,788,0.1356,"{""UR+UW+RV+UF+EV"": 1, ""WV"": 0, ""Hang"": 3, ""Other"": 0}",240
120,,,,,510,0.1266,"{""UR"": 1, ""UW"": 0, ""RV"": 0, ""UF+EV"": 0, ""WV"": 2, ""UI"": 0, ""Timeout"": 0, ""Other"": 0}",3,1002,0.2066,"{""UR+UW+RV+UF+EV"": 3, ""WV"": 0, ""Hang"": 0, ""Other"": 321}",162
121,,,,,526,0.1303,"{""UR"": 1, ""UW"": 0, ""RV"": 0, ""UF+EV"": 0, ""WV"": 2, ""UI"": 0, ""Timeout"": 0, ""Other"": 0}",3,1185,0.2057,"{""UR+UW+RV+UF+EV"": 3, ""WV"": 0, ""Hang"": 0, ""Other"": 344}",197
127,606,0.3807,"{""UR"": 0, ""UW"": 0, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",0,818,0.3815,"{""UR"": 1, ""UW"": 0, ""RV"": 0, ""UF+EV"": 0, ""WV"": 0, ""UI"": 0, ""Timeout"": 0, ""Other"": 0}",1,,,,
128,710,0.3890,"{""UR"": 517, ""UW"": 0, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",517,726,0.3954,"{""UR"": 1, ""UW"": 0, ""RV"": 0, ""UF+EV"": 0, ""WV"": 0, ""UI"": 0, ""Timeout"": 0, ""Other"": 0}",1,,,,
129,280,0.1173,"{""UR"": 0, ""UW"": 34, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",34,413,0.1766,"{""UR"": 0, ""UW"": 1, ""RV"": 0, ""UF+EV"": 0, ""WV"": 0, ""UI"": 0, ""Timeout"": 0, ""Other"": 0}",1,,,,
130,279,0.1290,"{""UR"": 0, ""UW"": 27, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",27,412,0.1854,"{""UR"": 0, ""UW"": 1, ""RV"": 0, ""UF+EV"": 0, ""WV"": 0, ""UI"": 0, ""Timeout"": 0, ""Other"": 0}",1,,,,
139,843,0.3369,"{""UR"": 871, ""UW"": 0, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",871,857,0.3584,"{""UR"": 1, ""UW"": 0, ""RV"": 0, ""UF+EV"": 0, ""WV"": 0, ""UI"": 0, ""Timeout"": 0, ""Other"": 0}",1,,,,
150,168,0.0473,"{""UR"": 0, ""UW"": 0, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",0,166,0.0447,"{""UR"": 0, ""UW"": 0, ""RV"": 0, ""UF+EV"": 0, ""WV"": 0, ""UI"": 0, ""Timeout"": 1, ""Other"": 0}",1,4,0.0460,"{""UR+UW+RV+UF+EV"": 0, ""WV"": 0, ""Hang"": 2, ""Other"": 0}",0
151,167,0.0470,"{""UR"": 0, ""UW"": 0, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",0,166,0.0447,"{""UR"": 0, ""UW"": 0, ""RV"": 0, ""UF+EV"": 0, ""WV"": 0, ""UI"": 0, ""Timeout"": 1, ""Other"": 0}",1,4,0.0457,"{""UR+UW+RV+UF+EV"": 0, ""WV"": 0, ""Hang"": 2, ""Other"": 0}",0
152,527,0.1736,"{""UR"": 649, ""UW"": 0, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",649,522,0.1468,"{""UR"": 2, ""UW"": 0, ""RV"": 25, ""UF+EV"": 0, ""WV"": 0, ""UI"": 0, ""Timeout"": 3, ""Other"": 0}",30,435,0.1604,"{""UR+UW+RV+UF+EV"": 3, ""WV"": 0, ""Hang"": 82, ""Other"": 17}",205
153,477,0.1634,"{""UR"": 306, ""UW"": 0, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",306,271,0.0860,"{""UR"": 0, ""UW"": 0, ""RV"": 0, ""UF+EV"": 0, ""WV"": 0, ""UI"": 0, ""Timeout"": 1, ""Other"": 0}",1,313,0.1528,"{""UR+UW+RV+UF+EV"": 2, ""WV"": 0, ""Hang"": 73, ""Other"": 9}",141
200,537,0.3237,"{""UR"": 0, ""UW"": 0, ""RV"": 0, ""UF"": 356, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",356,736,0.3073,"{""UR"": 0, ""UW"": 0, ""RV"": 0, ""UF+EV"": 2, ""WV"": 0, ""UI"": 0, ""Timeout"": 0, ""Other"": 0}",2,904,0.4241,"{""UR+UW+RV+UF+EV"": 148, ""WV"": 1, ""Hang"": 1, ""Other"": 11}",508
201,114,0.0241,"{""UR"": 27, ""UW"": 0, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",27,,,,,,,,
202,39,0.0089,"{""UR"": 78, ""UW"": 0, ""RV"": 0, ""UF"": 19, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",97,,,,,,,,
203,357,0.0771,"{""UR"": 170, ""UW"": 0, ""RV"": 0, ""UF"": 102, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",272,,,,,,,,
204,743,0.2963,"{""UR"": 0, ""UW"": 344, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",344,910,0.2662,"{""UR"": 0, ""UW"": 1, ""RV"": 0, ""UF+EV"": 0, ""WV"": 0, ""UI"": 0, ""Timeout"": 0, ""Other"": 0}",1,668,0.3357,"{""UR+UW+RV+UF+EV"": 1, ""WV"": 0, ""Hang"": 0, ""Other"": 0}",62
208,224,0.1326,"{""UR"": 0, ""UW"": 0, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",0,222,0.1162,"{""UR"": 0, ""UW"": 0, ""RV"": 0, ""UF+EV"": 0, ""WV"": 0, ""UI"": 0, ""Timeout"": 1, ""Other"": 0}",1,32,0.1240,"{""UR+UW+RV+UF+EV"": 0, ""WV"": 0, ""Hang"": 5, ""Other"": 0}",0
209,233,0.1287,"{""UR"": 0, ""UW"": 0, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",0,359,0.1791,"{""UR"": 0, ""UW"": 0, ""RV"": 0, ""UF+EV"": 0, ""WV"": 0, ""UI"": 0, ""Timeout"": 0, ""Other"": 0}",0,430,0.1793,"{""UR+UW+RV+UF+EV"": 0, ""WV"": 0, ""Hang"": 0, ""Other"": 209}",0
210,233,0.1287,"{""UR"": 0, ""UW"": 0, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",0,359,0.1791,"{""UR"": 0, ""UW"": 0, ""RV"": 0, ""UF+EV"": 0, ""WV"": 0, ""UI"": 0, ""Timeout"": 0, ""Other"": 0}",0,401,0.1793,"{""UR+UW+RV+UF+EV"": 0, ""WV"": 0, ""Hang"": 1, ""Other"": 203}",0
213,,,,,133,0.0129,"{""UR"": 0, ""UW"": 0, ""RV"": 0, ""UF+EV"": 0, ""WV"": 0, ""UI"": 0, ""Timeout"": 1, ""Other"": 0}",1,3,0.0135,"{""UR+UW+RV+UF+EV"": 0, ""WV"": 0, ""Hang"": 1, ""Other"": 0}",0
214,,,,,133,0.0127,"{""UR"": 0, ""UW"": 0, ""RV"": 0, ""UF+EV"": 0, ""WV"": 0, ""UI"": 0, ""Timeout"": 1, ""Other"": 0}",1,3,0.0131,"{""UR+UW+RV+UF+EV"": 0, ""WV"": 0, ""Hang"": 1, ""Other"": 0}",0
216,,,,,568,0.0706,"{""UR"": 1, ""UW"": 0, ""RV"": 0, ""UF+EV"": 0, ""WV"": 0, ""UI"": 1, ""Timeout"": 2, ""Other"": 0}",4,,,"{""UR+UW+RV+UF+EV"": 0, ""WV"": 0, ""Hang"": 0, ""Other"": 0}",0
223,1545,0.2368,"{""UR"": 719, ""UW"": 0, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",719,,,,,1107,0.2191,"{""UR+UW+RV+UF+EV"": 3, ""WV"": 0, ""Hang"": 0, ""Other"": 0}",531
224,224,0.1631,"{""UR"": 520, ""UW"": 0, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",520,223,0.1397,"{""UR"": 2, ""UW"": 0, ""RV"": 0, ""UF+EV"": 0, ""WV"": 0, ""UI"": 0, ""Timeout"": 1, ""Other"": 0}",3,400,0.1330,"{""UR+UW+RV+UF+EV"": 2, ""WV"": 0, ""Hang"": 21, ""Other"": 0}",192
226,119,0.0768,"{""UR"": 375, ""UW"": 0, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",375,,,,,,,,
