id,crash_input,input_file,max_score,verdict,firmrca_result
668,"id:000155,sig:11,src:000001+001024,op:splice,rep:128","main004/fuzzers/fuzzer1/crashes/id:000155,sig:11,src:000001+001024,op:splice,rep:128",99,success,"{""candidates"": [{""addr"": ""0x3e56"", ""score"": 99}, {""addr"": ""0x3e56"", ""score"": 99}, {""addr"": ""0x3e5c"", ""score"": 98}, {""addr"": ""0x3e5a"", ""score"": 98}, {""addr"": ""0x3e52"", ""score"": 98}, {""addr"": ""0x3e50"", ""score"": 98}, {""addr"": ""0x3e5c"", ""score"": 98}, {""addr"": ""0x3e5a"", ""score"": 98}, {""addr"": ""0x3e52"", ""score"": 98}, {""addr"": ""0x3e50"", ""score"": 98}, {""addr"": ""0x3e58"", ""score"": 96}, {""addr"": ""0x3e58"", ""score"": 96}, {""addr"": ""0x3e58"", ""score"": 96}, {""addr"": ""0x3e58"", ""score"": 96}]}"
668,"id:000144,sig:04,src:000001+000387,op:splice,rep:32","main004/fuzzers/fuzzer1/crashes/id:000144,sig:04,src:000001+000387,op:splice,rep:32",100,success,"{""candidates"": [{""addr"": ""0x3e56"", ""score"": 100}, {""addr"": ""0x3e5c"", ""score"": 99}, {""addr"": ""0x3e5a"", ""score"": 99}, {""addr"": ""0x3e52"", ""score"": 99}, {""addr"": ""0x3e50"", ""score"": 99}, {""addr"": ""0x3e58"", ""score"": 98}, {""addr"": ""0x3e58"", ""score"": 98}]}"
668,"id:000108,sig:11,src:000001+001027,op:splice,rep:128","main004/fuzzers/fuzzer1/crashes/id:000108,sig:11,src:000001+001027,op:splice,rep:128",100,success,"{""candidates"": [{""addr"": ""0x3e8a"", ""score"": 100}, {""addr"": ""0x417c"", ""score"": 99}, {""addr"": ""0x3e9a"", ""score"": 99}, {""addr"": ""0x3e98"", ""score"": 99}, {""addr"": ""0x3e8c"", ""score"": 98}, {""addr"": ""0x3e8c"", ""score"": 98}]}"
668,"id:000065,sig:11,src:000001+000673,op:splice,rep:64","main004/fuzzers/fuzzer1/crashes/id:000065,sig:11,src:000001+000673,op:splice,rep:64",99,success,"{""candidates"": [{""addr"": ""0x3e56"", ""score"": 99}, {""addr"": ""0x3e56"", ""score"": 99}, {""addr"": ""0x3e5c"", ""score"": 98}, {""addr"": ""0x3e5a"", ""score"": 98}, {""addr"": ""0x3e52"", ""score"": 98}, {""addr"": ""0x3e50"", ""score"": 98}, {""addr"": ""0x3e5c"", ""score"": 98}, {""addr"": ""0x3e5a"", ""score"": 98}, {""addr"": ""0x3e52"", ""score"": 98}, {""addr"": ""0x3e50"", ""score"": 98}, {""addr"": ""0x3e58"", ""score"": 96}, {""addr"": ""0x3e58"", ""score"": 96}, {""addr"": ""0x3e58"", ""score"": 96}, {""addr"": ""0x3e58"", ""score"": 96}]}"
668,"id:000180,sig:11,src:000005+001113,op:splice,rep:128","main004/fuzzers/fuzzer1/crashes/id:000180,sig:11,src:000005+001113,op:splice,rep:128",99,success,"{""candidates"": [{""addr"": ""0x3e56"", ""score"": 99}, {""addr"": ""0x3e56"", ""score"": 99}, {""addr"": ""0x3e5c"", ""score"": 98}, {""addr"": ""0x3e5a"", ""score"": 98}, {""addr"": ""0x3e52"", ""score"": 98}, {""addr"": ""0x3e50"", ""score"": 98}, {""addr"": ""0x3e5c"", ""score"": 98}, {""addr"": ""0x3e5a"", ""score"": 98}, {""addr"": ""0x3e52"", ""score"": 98}, {""addr"": ""0x3e50"", ""score"": 98}, {""addr"": ""0x3e58"", ""score"": 96}, {""addr"": ""0x3e58"", ""score"": 96}, {""addr"": ""0x3e58"", ""score"": 96}, {""addr"": ""0x3e58"", ""score"": 96}]}"
668,"id:000105,sig:11,src:000001+001027,op:splice,rep:32","main004/fuzzers/fuzzer1/crashes/id:000105,sig:11,src:000001+001027,op:splice,rep:32",99,success,"{""candidates"": [{""addr"": ""0x3e56"", ""score"": 99}, {""addr"": ""0x3e56"", ""score"": 99}, {""addr"": ""0x3e5c"", ""score"": 98}, {""addr"": ""0x3e5a"", ""score"": 98}, {""addr"": ""0x3e52"", ""score"": 98}, {""addr"": ""0x3e50"", ""score"": 98}, {""addr"": ""0x3e5c"", ""score"": 98}, {""addr"": ""0x3e5a"", ""score"": 98}, {""addr"": ""0x3e52"", ""score"": 98}, {""addr"": ""0x3e50"", ""score"": 98}, {""addr"": ""0x3e58"", ""score"": 96}, {""addr"": ""0x3e58"", ""score"": 96}, {""addr"": ""0x3e58"", ""score"": 96}, {""addr"": ""0x3e58"", ""score"": 96}]}"
668,"id:000140,sig:11,src:000001+001049,op:splice,rep:64","main004/fuzzers/fuzzer1/crashes/id:000140,sig:11,src:000001+001049,op:splice,rep:64",99,success,"{""candidates"": [{""addr"": ""0x3e56"", ""score"": 99}, {""addr"": ""0x3e56"", ""score"": 99}, {""addr"": ""0x3e5c"", ""score"": 98}, {""addr"": ""0x3e5a"", ""score"": 98}, {""addr"": ""0x3e52"", ""score"": 98}, {""addr"": ""0x3e50"", ""score"": 98}, {""addr"": ""0x3e5c"", ""score"": 98}, {""addr"": ""0x3e5a"", ""score"": 98}, {""addr"": ""0x3e52"", ""score"": 98}, {""addr"": ""0x3e50"", ""score"": 98}, {""addr"": ""0x3e58"", ""score"": 96}, {""addr"": ""0x3e58"", ""score"": 96}, {""addr"": ""0x3e58"", ""score"": 96}, {""addr"": ""0x3e58"", ""score"": 96}]}"
668,"id:000063,sig:11,src:000001+000673,op:splice,rep:64","main004/fuzzers/fuzzer1/crashes/id:000063,sig:11,src:000001+000673,op:splice,rep:64",99,success,"{""candidates"": [{""addr"": ""0x3e56"", ""score"": 99}, {""addr"": ""0x3e56"", ""score"": 99}, {""addr"": ""0x3e5c"", ""score"": 98}, {""addr"": ""0x3e5a"", ""score"": 98}, {""addr"": ""0x3e52"", ""score"": 98}, {""addr"": ""0x3e50"", ""score"": 98}, {""addr"": ""0x3e5c"", ""score"": 98}, {""addr"": ""0x3e5a"", ""score"": 98}, {""addr"": ""0x3e52"", ""score"": 98}, {""addr"": ""0x3e50"", ""score"": 98}, {""addr"": ""0x3e58"", ""score"": 96}, {""addr"": ""0x3e58"", ""score"": 96}, {""addr"": ""0x3e58"", ""score"": 96}, {""addr"": ""0x3e58"", ""score"": 96}]}"
668,"id:000147,sig:11,src:000001+001024,op:splice,rep:128","main004/fuzzers/fuzzer1/crashes/id:000147,sig:11,src:000001+001024,op:splice,rep:128",99,success,"{""candidates"": [{""addr"": ""0x3e56"", ""score"": 99}, {""addr"": ""0x3e56"", ""score"": 99}, {""addr"": ""0x3e5c"", ""score"": 98}, {""addr"": ""0x3e5a"", ""score"": 98}, {""addr"": ""0x3e52"", ""score"": 98}, {""addr"": ""0x3e50"", ""score"": 98}, {""addr"": ""0x3e5c"", ""score"": 98}, {""addr"": ""0x3e5a"", ""score"": 98}, {""addr"": ""0x3e52"", ""score"": 98}, {""addr"": ""0x3e50"", ""score"": 98}, {""addr"": ""0x3e58"", ""score"": 96}, {""addr"": ""0x3e58"", ""score"": 96}, {""addr"": ""0x3e58"", ""score"": 96}, {""addr"": ""0x3e58"", ""score"": 96}]}"
668,"id:000086,sig:11,src:000001+000598,op:splice,rep:128","main004/fuzzers/fuzzer1/crashes/id:000086,sig:11,src:000001+000598,op:splice,rep:128",99,success,"{""candidates"": [{""addr"": ""0x3e56"", ""score"": 99}, {""addr"": ""0x3e56"", ""score"": 99}, {""addr"": ""0x3e5c"", ""score"": 98}, {""addr"": ""0x3e5a"", ""score"": 98}, {""addr"": ""0x3e52"", ""score"": 98}, {""addr"": ""0x3e50"", ""score"": 98}, {""addr"": ""0x3e5c"", ""score"": 98}, {""addr"": ""0x3e5a"", ""score"": 98}, {""addr"": ""0x3e52"", ""score"": 98}, {""addr"": ""0x3e50"", ""score"": 98}, {""addr"": ""0x3e58"", ""score"": 96}, {""addr"": ""0x3e58"", ""score"": 96}, {""addr"": ""0x3e58"", ""score"": 96}, {""addr"": ""0x3e58"", ""score"": 96}]}"
